Date (2020),District(s),Origin,Cases,Cases,Type of transmission,Source(s)
July-02,"Alappuzha (16), Ernakulam (9), Idukki (8), Kannur (9), Kasargod (5), Kollam (9), Kottayam (9), Kozhikode (7), Malappuram (24), Palakkad (18), Pathanamthitta (27), Thiruvananthapuram (9), Thrissur (9), Wayanad (1)",Bahrain,4,4753,T,
July-02,"Alappuzha (16), Ernakulam (9), Idukki (8), Kannur (9), Kasargod (5), Kollam (9), Kottayam (9), Kozhikode (7), Malappuram (24), Palakkad (18), Pathanamthitta (27), Thiruvananthapuram (9), Thrissur (9), Wayanad (1)",Ivory Coast,1,4753,T,
July-02,"Alappuzha (16), Ernakulam (9), Idukki (8), Kannur (9), Kasargod (5), Kollam (9), Kottayam (9), Kozhikode (7), Malappuram (24), Palakkad (18), Pathanamthitta (27), Thiruvananthapuram (9), Thrissur (9), Wayanad (1)",Gujarat,1,4753,T,
July-02,"Alappuzha (16), Ernakulam (9), Idukki (8), Kannur (9), Kasargod (5), Kollam (9), Kottayam (9), Kozhikode (7), Malappuram (24), Palakkad (18), Pathanamthitta (27), Thiruvananthapuram (9), Thrissur (9), Wayanad (1)",Moldova,1,4753,T,
July-02,"Alappuzha (16), Ernakulam (9), Idukki (8), Kannur (9), Kasargod (5), Kollam (9), Kottayam (9), Kozhikode (7), Malappuram (24), Palakkad (18), Pathanamthitta (27), Thiruvananthapuram (9), Thrissur (9), Wayanad (1)",Punjab,1,4753,T,
July-02,"Alappuzha (16), Ernakulam (9), Idukki (8), Kannur (9), Kasargod (5), Kollam (9), Kottayam (9), Kozhikode (7), Malappuram (24), Palakkad (18), Pathanamthitta (27), Thiruvananthapuram (9), Thrissur (9), Wayanad (1)",West Bengal,1,4753,T,
July-03,"Alappuzha (21), Ernakulam (17), Idukki (2), Kannur (18), Kasargod (7), Kollam (23), Kottayam (14), Kozhikode (14), Malappuram (35), Palakkad (14), Pathanamthitta (7), Thiruvananthapuram (17), Thrissur (21), Wayanad (1)",Overseas,138,4964,T,
July-03,"Alappuzha (21), Ernakulam (17), Idukki (2), Kannur (18), Kasargod (7), Kollam (23), Kottayam (14), Kozhikode (14), Malappuram (35), Palakkad (14), Pathanamthitta (7), Thiruvananthapuram (17), Thrissur (21), Wayanad (1)",Other states,39,4964,T,
July-03,"Alappuzha (21), Ernakulam (17), Idukki (2), Kannur (18), Kasargod (7), Kollam (23), Kottayam (14), Kozhikode (14), Malappuram (35), Palakkad (14), Pathanamthitta (7), Thiruvananthapuram (17), Thrissur (21), Wayanad (1)",None,27,4964,PTP,
July-04,"Alappuzha (20), Ernakulam (13), Idukki (2), Kannur (35), Kasargod (14), Kollam (16), Kottayam (6), Kozhikode (8), Malappuram (37), Palakkad (29), Pathanamthitta (22), Thiruvananthapuram (16), Thrissur (20), Wayanad (2)",Overseas,152,5204,T,
July-04,"Alappuzha (20), Ernakulam (13), Idukki (2), Kannur (35), Kasargod (14), Kollam (16), Kottayam (6), Kozhikode (8), Malappuram (37), Palakkad (29), Pathanamthitta (22), Thiruvananthapuram (16), Thrissur (20), Wayanad (2)",Other states,52,5204,T,
July-04,"Alappuzha (20), Ernakulam (13), Idukki (2), Kannur (35), Kasargod (14), Kollam (16), Kottayam (6), Kozhikode (8), Malappuram (37), Palakkad (29), Pathanamthitta (22), Thiruvananthapuram (16), Thrissur (20), Wayanad (2)",None,36,5204,PTP,
July-05,"Alappuzha (13), Ernakulam (12), Idukki (6), Kannur (25), Kasargod (28), Kollam (10), Kottayam (8), Kozhikode (20), Malappuram (26), Palakkad (29), Pathanamthitta (3), Thiruvananthapuram (27), Thrissur (12), Wayanad (6)",Overseas,117,5429,T,
July-05,"Alappuzha (13), Ernakulam (12), Idukki (6), Kannur (25), Kasargod (28), Kollam (10), Kottayam (8), Kozhikode (20), Malappuram (26), Palakkad (29), Pathanamthitta (3), Thiruvananthapuram (27), Thrissur (12), Wayanad (6)",Other states,57,5429,T,
July-05,"Alappuzha (13), Ernakulam (12), Idukki (6), Kannur (25), Kasargod (28), Kollam (10), Kottayam (8), Kozhikode (20), Malappuram (26), Palakkad (29), Pathanamthitta (3), Thiruvananthapuram (27), Thrissur (12), Wayanad (6)",None,51,5429,PTP,
July-06,"Alappuzha (15), Ernakulam (25), Idukki (6), Kannur (11), Kasargod (6), Kollam (11), Kottayam (6), Kozhikode (15), Malappuram (35), Palakkad (8), Pathanamthitta (26), Thiruvananthapuram (7), Thrissur (14), Wayanad (8)",Overseas,92,5622,T,
July-06,"Alappuzha (15), Ernakulam (25), Idukki (6), Kannur (11), Kasargod (6), Kollam (11), Kottayam (6), Kozhikode (15), Malappuram (35), Palakkad (8), Pathanamthitta (26), Thiruvananthapuram (7), Thrissur (14), Wayanad (8)",Other states,65,5622,T,
July-06,"Alappuzha (15), Ernakulam (25), Idukki (6), Kannur (11), Kasargod (6), Kollam (11), Kottayam (6), Kozhikode (15), Malappuram (35), Palakkad (8), Pathanamthitta (26), Thiruvananthapuram (7), Thrissur (14), Wayanad (8)",None,35,5622,PTP,
July-07,"Alappuzha (18), Ernakulam (21), Idukki (1), Kannur (19), Kasargod (13), Kollam (11), Kottayam (3), Kozhikode (15), Malappuram (63), Palakkad (29), Pathanamthitta (12), Thiruvananthapuram (54), Thrissur (10), Wayanad (3)",Overseas,157,5894,T,
July-07,"Alappuzha (18), Ernakulam (21), Idukki (1), Kannur (19), Kasargod (13), Kollam (11), Kottayam (3), Kozhikode (15), Malappuram (63), Palakkad (29), Pathanamthitta (12), Thiruvananthapuram (54), Thrissur (10), Wayanad (3)",None,68,5894,PTP,
July-07,"Alappuzha (18), Ernakulam (21), Idukki (1), Kannur (19), Kasargod (13), Kollam (11), Kottayam (3), Kozhikode (15), Malappuram (63), Palakkad (29), Pathanamthitta (12), Thiruvananthapuram (54), Thrissur (10), Wayanad (3)",Other states,38,5894,T,
July-08,"Alappuzha (18), Ernakulam (16), Idukki (20), Kannur (22), Kasargod (4), Kollam (8), Kottayam (17), Kozhikode (15), Malappuram (46), Palakkad (25), Pathanamthitta (7), Thiruvananthapuram (64), Thrissur (25), Wayanad (14)",None,110,6195,PTP,[139]
July-08,"Alappuzha (18), Ernakulam (16), Idukki (20), Kannur (22), Kasargod (4), Kollam (8), Kottayam (17), Kozhikode (15), Malappuram (46), Palakkad (25), Pathanamthitta (7), Thiruvananthapuram (64), Thrissur (25), Wayanad (14)",Overseas,99,6195,T,[139]
July-08,"Alappuzha (18), Ernakulam (16), Idukki (20), Kannur (22), Kasargod (4), Kollam (8), Kottayam (17), Kozhikode (15), Malappuram (46), Palakkad (25), Pathanamthitta (7), Thiruvananthapuram (64), Thrissur (25), Wayanad (14)",Other states,95,6195,T,[139]
July-09,"Alappuzha (22), Ernakulam (12), Idukki (20), Kannur (8), Kasargod (11), Kollam (10), Kottayam (7), Kozhikode (8), Malappuram (55), Palakkad (50), Pathanamthitta (7), Thiruvananthapuram (95), Thrissur (27), Wayanad (7)",None,148,6534,PTP,[139]
July-09,"Alappuzha (22), Ernakulam (12), Idukki (20), Kannur (8), Kasargod (11), Kollam (10), Kottayam (7), Kozhikode (8), Malappuram (55), Palakkad (50), Pathanamthitta (7), Thiruvananthapuram (95), Thrissur (27), Wayanad (7)",Overseas,117,6534,T,[139]
July-09,"Alappuzha (22), Ernakulam (12), Idukki (20), Kannur (8), Kasargod (11), Kollam (10), Kottayam (7), Kozhikode (8), Malappuram (55), Palakkad (50), Pathanamthitta (7), Thiruvananthapuram (95), Thrissur (27), Wayanad (7)",Other states,74,6534,T,[139]
July-10,"Alappuzha (50), Ernakulam (20), Idukki (12), Kannur (23), Kasargod (17), Kollam (28), Kottayam (7), Kozhikode (12), Malappuram (41), Palakkad (28), Pathanamthitta (32), Thiruvananthapuram (129), Thrissur (17)",None,242,6950,PTP,
July-10,"Alappuzha (50), Ernakulam (20), Idukki (12), Kannur (23), Kasargod (17), Kollam (28), Kottayam (7), Kozhikode (12), Malappuram (41), Palakkad (28), Pathanamthitta (32), Thiruvananthapuram (129), Thrissur (17)",Overseas,123,6950,T,
July-10,"Alappuzha (50), Ernakulam (20), Idukki (12), Kannur (23), Kasargod (17), Kollam (28), Kottayam (7), Kozhikode (12), Malappuram (41), Palakkad (28), Pathanamthitta (32), Thiruvananthapuram (129), Thrissur (17)",Other states,51,6950,T,
July-11,"Alappuzha (87), Ernakulam (47), Idukki (5), Kannur (19), Kasargod (18), Kollam (18), Kottayam (15), Kozhikode (17), Malappuram (51), Palakkad (48), Pathanamthitta (54), Thiruvananthapuram (69), Thrissur (29), Wayanad (11)",None,234,7438,PTP,
July-11,"Alappuzha (87), Ernakulam (47), Idukki (5), Kannur (19), Kasargod (18), Kollam (18), Kottayam (15), Kozhikode (17), Malappuram (51), Palakkad (48), Pathanamthitta (54), Thiruvananthapuram (69), Thrissur (29), Wayanad (11)",Overseas,167,7438,T,
July-11,"Alappuzha (87), Ernakulam (47), Idukki (5), Kannur (19), Kasargod (18), Kollam (18), Kottayam (15), Kozhikode (17), Malappuram (51), Palakkad (48), Pathanamthitta (54), Thiruvananthapuram (69), Thrissur (29), Wayanad (11)",Other states,76,7438,T,
July-12,"Alappuzha (57), Ernakulam (50), Idukki (16), Kannur (17), Kasargod (56), Kollam (5), Kottayam (12), Kozhikode (4), Malappuram (42), Palakkad (59), Pathanamthitta (39), Thiruvananthapuram (40), Thrissur (19), Wayanad (19)",None,220,7873,PTP,
July-12,"Alappuzha (57), Ernakulam (50), Idukki (16), Kannur (17), Kasargod (56), Kollam (5), Kottayam (12), Kozhikode (4), Malappuram (42), Palakkad (59), Pathanamthitta (39), Thiruvananthapuram (40), Thrissur (19), Wayanad (19)",Overseas,128,7873,T,
July-12,"Alappuzha (57), Ernakulam (50), Idukki (16), Kannur (17), Kasargod (56), Kollam (5), Kottayam (12), Kozhikode (4), Malappuram (42), Palakkad (59), Pathanamthitta (39), Thiruvananthapuram (40), Thrissur (19), Wayanad (19)",Other states,87,7873,T,
July-13,"Alappuzha (119), Ernakulam (15), Idukki (4), Kannur (44), Kasargod (9), Kollam (33), Kottayam (10), Kozhikode (16), Malappuram (47), Palakkad (19), Pathanamthitta (47), Thiruvananthapuram (63), Thrissur (9), Wayanad (14)",None,245,8322,PTP,
July-13,"Alappuzha (119), Ernakulam (15), Idukki (4), Kannur (44), Kasargod (9), Kollam (33), Kottayam (10), Kozhikode (16), Malappuram (47), Palakkad (19), Pathanamthitta (47), Thiruvananthapuram (63), Thrissur (9), Wayanad (14)",Overseas,140,8322,T,
July-13,"Alappuzha (119), Ernakulam (15), Idukki (4), Kannur (44), Kasargod (9), Kollam (33), Kottayam (10), Kozhikode (16), Malappuram (47), Palakkad (19), Pathanamthitta (47), Thiruvananthapuram (63), Thrissur (9), Wayanad (14)",Other states,64,8322,T,
July-14,"Alappuzha (34), Ernakulam (70), Kannur (12), Kasargod (44), Kollam (23), Kottayam (25), Kozhikode (58), Malappuram (58), Palakkad (26), Pathanamthitta (3), Thiruvananthapuram (201), Thrissur (42), Wayanad (12)",None,410,8930,PTP,
July-14,"Alappuzha (34), Ernakulam (70), Kannur (12), Kasargod (44), Kollam (23), Kottayam (25), Kozhikode (58), Malappuram (58), Palakkad (26), Pathanamthitta (3), Thiruvananthapuram (201), Thrissur (42), Wayanad (12)",Overseas,130,8930,T,
July-14,"Alappuzha (34), Ernakulam (70), Kannur (12), Kasargod (44), Kollam (23), Kottayam (25), Kozhikode (58), Malappuram (58), Palakkad (26), Pathanamthitta (3), Thiruvananthapuram (201), Thrissur (42), Wayanad (12)",Other states,68,8930,T,
July-15,"Alappuzha (20), Ernakulam (72), Idukki (55), Kannur (35), Kasargod (74), Kollam (11), Kottayam (25), Kozhikode (64), Malappuram (18), Palakkad (19), Pathanamthitta (64), Thiruvananthapuram (157), Thrissur (5), Wayanad (4)",None,451,9553,PTP,
July-15,"Alappuzha (20), Ernakulam (72), Idukki (55), Kannur (35), Kasargod (74), Kollam (11), Kottayam (25), Kozhikode (64), Malappuram (18), Palakkad (19), Pathanamthitta (64), Thiruvananthapuram (157), Thrissur (5), Wayanad (4)",Overseas,96,9553,T,
July-15,"Alappuzha (20), Ernakulam (72), Idukki (55), Kannur (35), Kasargod (74), Kollam (11), Kottayam (25), Kozhikode (64), Malappuram (18), Palakkad (19), Pathanamthitta (64), Thiruvananthapuram (157), Thrissur (5), Wayanad (4)",Other states,76,9553,T,
July-16,"Alappuzha (20), Ernakulam (57), Idukki (26), Kannur (23), Kasargod (18), Kollam (42), Kottayam (13), Kozhikode (33), Malappuram (42), Palakkad (25), Pathanamthitta (39), Thiruvananthapuram (339), Thrissur (32), Wayanad (13)",None,501,10275,PTP,
July-16,"Alappuzha (20), Ernakulam (57), Idukki (26), Kannur (23), Kasargod (18), Kollam (42), Kottayam (13), Kozhikode (33), Malappuram (42), Palakkad (25), Pathanamthitta (39), Thiruvananthapuram (339), Thrissur (32), Wayanad (13)",Overseas,157,10275,T,
July-16,"Alappuzha (20), Ernakulam (57), Idukki (26), Kannur (23), Kasargod (18), Kollam (42), Kottayam (13), Kozhikode (33), Malappuram (42), Palakkad (25), Pathanamthitta (39), Thiruvananthapuram (339), Thrissur (32), Wayanad (13)",Other states,62,10275,T,
July-17,"Alappuzha (57), Ernakulam (115), Idukki (11), Kannur (9), Kasargod (32), Kollam (47), Kottayam (39), Kozhikode (32), Malappuram (25), Palakkad (31), Pathanamthitta (87), Thiruvananthapuram (246), Thrissur (32), Wayanad (28)",None,556,11066,PTP,
July-17,"Alappuzha (57), Ernakulam (115), Idukki (11), Kannur (9), Kasargod (32), Kollam (47), Kottayam (39), Kozhikode (32), Malappuram (25), Palakkad (31), Pathanamthitta (87), Thiruvananthapuram (246), Thrissur (32), Wayanad (28)",Overseas,135,11066,T,
July-17,"Alappuzha (57), Ernakulam (115), Idukki (11), Kannur (9), Kasargod (32), Kollam (47), Kottayam (39), Kozhikode (32), Malappuram (25), Palakkad (31), Pathanamthitta (87), Thiruvananthapuram (246), Thrissur (32), Wayanad (28)",Other states,98,11066,T,
July-18,"Alappuzha (42), Ernakulam (44), Idukki (28), Kannur (39), Kasargod (29), Kollam (53), Kottayam (16), Kozhikode (26), Malappuram (19), Palakkad (49), Pathanamthitta (28), Thiruvananthapuram (173), Thrissur (21), Wayanad (26)",None,387,11659,PTP,[140]
July-18,"Alappuzha (42), Ernakulam (44), Idukki (28), Kannur (39), Kasargod (29), Kollam (53), Kottayam (16), Kozhikode (26), Malappuram (19), Palakkad (49), Pathanamthitta (28), Thiruvananthapuram (173), Thrissur (21), Wayanad (26)",Overseas,116,11659,T,[140]
July-18,"Alappuzha (42), Ernakulam (44), Idukki (28), Kannur (39), Kasargod (29), Kollam (53), Kottayam (16), Kozhikode (26), Malappuram (19), Palakkad (49), Pathanamthitta (28), Thiruvananthapuram (173), Thrissur (21), Wayanad (26)",Other states,90,11659,T,[140]
July-19,"Alappuzha (52), Ernakulam (98), Idukki (49), Kannur (13), Kasargod (57), Kollam (75), Kottayam (20), Kozhikode (32), Malappuram (25), Palakkad (81), Pathanamthitta (35), Thiruvananthapuram (222), Thrissur (61), Wayanad (1)",None,629,12480,PTP,
July-19,"Alappuzha (52), Ernakulam (98), Idukki (49), Kannur (13), Kasargod (57), Kollam (75), Kottayam (20), Kozhikode (32), Malappuram (25), Palakkad (81), Pathanamthitta (35), Thiruvananthapuram (222), Thrissur (61), Wayanad (1)",Overseas,110,12480,T,
July-19,"Alappuzha (52), Ernakulam (98), Idukki (49), Kannur (13), Kasargod (57), Kollam (75), Kottayam (20), Kozhikode (32), Malappuram (25), Palakkad (81), Pathanamthitta (35), Thiruvananthapuram (222), Thrissur (61), Wayanad (1)",Other states,69,12480,T,
July-20,"Alappuzha (53), Ernakulam (72), Idukki (24), Kannur (48), Kasargod (28), Kollam (79), Kottayam (46), Kozhikode (92), Malappuram (50), Palakkad (49), Pathanamthitta (3), Thiruvananthapuram (182), Thrissur (42), Wayanad (26)",None,541,13274,PTP,
July-20,"Alappuzha (53), Ernakulam (72), Idukki (24), Kannur (48), Kasargod (28), Kollam (79), Kottayam (46), Kozhikode (92), Malappuram (50), Palakkad (49), Pathanamthitta (3), Thiruvananthapuram (182), Thrissur (42), Wayanad (26)",Overseas,148,13274,T,
July-20,"Alappuzha (53), Ernakulam (72), Idukki (24), Kannur (48), Kasargod (28), Kollam (79), Kottayam (46), Kozhikode (92), Malappuram (50), Palakkad (49), Pathanamthitta (3), Thiruvananthapuram (182), Thrissur (42), Wayanad (26)",Other states,105,13274,T,
July-21,"Alappuzha (46), Ernakulam (80), Kannur (57), Kasargod (40), Kollam (85), Kottayam (39), Kozhikode (39), Malappuram (61), Palakkad (46), Pathanamthitta (40), Thiruvananthapuram (151), Thrissur (19), Wayanad (17)",None,584,13994,PTP,
July-21,"Alappuzha (46), Ernakulam (80), Kannur (57), Kasargod (40), Kollam (85), Kottayam (39), Kozhikode (39), Malappuram (61), Palakkad (46), Pathanamthitta (40), Thiruvananthapuram (151), Thrissur (19), Wayanad (17)",Overseas,82,13994,T,
July-21,"Alappuzha (46), Ernakulam (80), Kannur (57), Kasargod (40), Kollam (85), Kottayam (39), Kozhikode (39), Malappuram (61), Palakkad (46), Pathanamthitta (40), Thiruvananthapuram (151), Thrissur (19), Wayanad (17)",Other states,54,13994,T,
July-22,"Alappuzha (120), Ernakulam (92), Idukki (43), Kannur (43), Kasargod (101), Kollam (133), Kottayam (51), Kozhikode (25), Malappuram (61), Palakkad (34), Pathanamthitta (49), Thiruvananthapuram (226), Thrissur (56), Wayanad (4)",None,842,15032,PTP,
July-22,"Alappuzha (120), Ernakulam (92), Idukki (43), Kannur (43), Kasargod (101), Kollam (133), Kottayam (51), Kozhikode (25), Malappuram (61), Palakkad (34), Pathanamthitta (49), Thiruvananthapuram (226), Thrissur (56), Wayanad (4)",Other states,87,15032,T,
July-22,"Alappuzha (120), Ernakulam (92), Idukki (43), Kannur (43), Kasargod (101), Kollam (133), Kottayam (51), Kozhikode (25), Malappuram (61), Palakkad (34), Pathanamthitta (49), Thiruvananthapuram (226), Thrissur (56), Wayanad (4)",Overseas,109,15032,T,
July-23,"Alappuzha (82), Ernakulam (100), Idukki (63), Kannur (5), Kasargod (47), Kollam (106), Kottayam (80), Kozhikode (6), Malappuram (89), Palakkad (51), Pathanamthitta (27), Thiruvananthapuram (222), Thrissur (83), Wayanad (10)",None,859,16100,PTP,
July-23,"Alappuzha (82), Ernakulam (100), Idukki (63), Kannur (5), Kasargod (47), Kollam (106), Kottayam (80), Kozhikode (6), Malappuram (89), Palakkad (51), Pathanamthitta (27), Thiruvananthapuram (222), Thrissur (83), Wayanad (10)",Other states,115,16100,T,
July-23,"Alappuzha (82), Ernakulam (100), Idukki (63), Kannur (5), Kasargod (47), Kollam (106), Kottayam (80), Kozhikode (6), Malappuram (89), Palakkad (51), Pathanamthitta (27), Thiruvananthapuram (222), Thrissur (83), Wayanad (10)",Overseas,104,16100,T,
July-24,"Alappuzha (44), Ernakulam (69), Idukki (29), Kannur (18), Kasargod (106), Kollam (133), Kottayam (50), Kozhikode (82), Malappuram (58), Palakkad (58), Pathanamthitta (23), Thiruvananthapuram (167), Thrissur (33), Wayanad (15)",None,753,16995,PTP,
July-24,"Alappuzha (44), Ernakulam (69), Idukki (29), Kannur (18), Kasargod (106), Kollam (133), Kottayam (50), Kozhikode (82), Malappuram (58), Palakkad (58), Pathanamthitta (23), Thiruvananthapuram (167), Thrissur (33), Wayanad (15)",Other states,68,16995,T,
July-24,"Alappuzha (44), Ernakulam (69), Idukki (29), Kannur (18), Kasargod (106), Kollam (133), Kottayam (50), Kozhikode (82), Malappuram (58), Palakkad (58), Pathanamthitta (23), Thiruvananthapuram (167), Thrissur (33), Wayanad (15)",Overseas,64,16995,T,
July-25,"Alappuzha (102), Ernakulam (79), Idukki (40), Kannur (62), Kasargod (105), Kollam (80), Kottayam (77), Kozhikode (110), Malappuram (68), Palakkad (35), Pathanamthitta (52), Thiruvananthapuram (240), Thrissur (36), Wayanad (17)",None,878,18098,PTP,
July-25,"Alappuzha (102), Ernakulam (79), Idukki (40), Kannur (62), Kasargod (105), Kollam (80), Kottayam (77), Kozhikode (110), Malappuram (68), Palakkad (35), Pathanamthitta (52), Thiruvananthapuram (240), Thrissur (36), Wayanad (17)",Overseas,119,18098,T,
July-25,"Alappuzha (102), Ernakulam (79), Idukki (40), Kannur (62), Kasargod (105), Kollam (80), Kottayam (77), Kozhikode (110), Malappuram (68), Palakkad (35), Pathanamthitta (52), Thiruvananthapuram (240), Thrissur (36), Wayanad (17)",Other states,106,18098,T,
July-26,"Alappuzha (46), Ernakulam (61), Idukki (48), Kannur (47), Kasargod (107), Kollam (74), Kottayam (54), Kozhikode (57), Malappuram (56), Palakkad (42), Pathanamthitta (91), Thiruvananthapuram (175), Thrissur (41), Wayanad (42)",None,760,19025,PTP,
July-26,"Alappuzha (46), Ernakulam (61), Idukki (48), Kannur (47), Kasargod (107), Kollam (74), Kottayam (54), Kozhikode (57), Malappuram (56), Palakkad (42), Pathanamthitta (91), Thiruvananthapuram (175), Thrissur (41), Wayanad (42)",Other states,91,19025,T,
July-26,"Alappuzha (46), Ernakulam (61), Idukki (48), Kannur (47), Kasargod (107), Kollam (74), Kottayam (54), Kozhikode (57), Malappuram (56), Palakkad (42), Pathanamthitta (91), Thiruvananthapuram (175), Thrissur (41), Wayanad (42)",Overseas,76,19025,T,
July-27,"Alappuzha (30), Ernakulam (15), Idukki (70), Kannur (38), Kasargod (38), Kollam (22), Kottayam (59), Kozhikode (68), Malappuram (86), Palakkad (41), Pathanamthitta (17), Thiruvananthapuram (161), Thrissur (40), Wayanad (17)",None,536,19727,PTP,
July-27,"Alappuzha (30), Ernakulam (15), Idukki (70), Kannur (38), Kasargod (38), Kollam (22), Kottayam (59), Kozhikode (68), Malappuram (86), Palakkad (41), Pathanamthitta (17), Thiruvananthapuram (161), Thrissur (40), Wayanad (17)",Other states,91,19727,T,
July-27,"Alappuzha (30), Ernakulam (15), Idukki (70), Kannur (38), Kasargod (38), Kollam (22), Kottayam (59), Kozhikode (68), Malappuram (86), Palakkad (41), Pathanamthitta (17), Thiruvananthapuram (161), Thrissur (40), Wayanad (17)",Overseas,75,19727,T,
July-28,"Alappuzha (84), Ernakulam (70), Idukki (7), Kannur (43), Kasargod (38), Kollam (95), Kottayam (118), Kozhikode (67), Malappuram (112), Palakkad (86), Pathanamthitta (63), Thiruvananthapuram (227), Thrissur (109), Wayanad (53)",None,949,20894,PTP,
July-28,"Alappuzha (84), Ernakulam (70), Idukki (7), Kannur (43), Kasargod (38), Kollam (95), Kottayam (118), Kozhikode (67), Malappuram (112), Palakkad (86), Pathanamthitta (63), Thiruvananthapuram (227), Thrissur (109), Wayanad (53)",Overseas,122,20894,T,
July-28,"Alappuzha (84), Ernakulam (70), Idukki (7), Kannur (43), Kasargod (38), Kollam (95), Kottayam (118), Kozhikode (67), Malappuram (112), Palakkad (86), Pathanamthitta (63), Thiruvananthapuram (227), Thrissur (109), Wayanad (53)",Other states,96,20894,T,
July-29,"Alappuzha (38), Ernakulam (83), Idukki (34), Kannur (42), Kasargod (49), Kollam (84), Kottayam (29), Kozhikode (67), Malappuram (87), Palakkad (49), Pathanamthitta (54), Thiruvananthapuram (213), Thrissur (31), Wayanad (43)",None,742,21797,PTP,
July-29,"Alappuzha (38), Ernakulam (83), Idukki (34), Kannur (42), Kasargod (49), Kollam (84), Kottayam (29), Kozhikode (67), Malappuram (87), Palakkad (49), Pathanamthitta (54), Thiruvananthapuram (213), Thrissur (31), Wayanad (43)",Overseas,90,21797,T,
July-29,"Alappuzha (38), Ernakulam (83), Idukki (34), Kannur (42), Kasargod (49), Kollam (84), Kottayam (29), Kozhikode (67), Malappuram (87), Palakkad (49), Pathanamthitta (54), Thiruvananthapuram (213), Thrissur (31), Wayanad (43)",Other states,71,21797,T,
July-30,"Alappuzha (55), Ernakulam (34), Idukki (6), Kannur (39), Kasargod (28), Kollam (22), Kottayam (29), Kozhikode (42), Malappuram (32), Palakkad (4), Pathanamthitta (59), Thiruvananthapuram (70), Thrissur (83), Wayanad (3)",None,435,22303,PTP,
July-30,"Alappuzha (55), Ernakulam (34), Idukki (6), Kannur (39), Kasargod (28), Kollam (22), Kottayam (29), Kozhikode (42), Malappuram (32), Palakkad (4), Pathanamthitta (59), Thiruvananthapuram (70), Thrissur (83), Wayanad (3)",Other states,40,22303,T,
July-30,"Alappuzha (55), Ernakulam (34), Idukki (6), Kannur (39), Kasargod (28), Kollam (22), Kottayam (29), Kozhikode (42), Malappuram (32), Palakkad (4), Pathanamthitta (59), Thiruvananthapuram (70), Thrissur (83), Wayanad (3)",Overseas,31,22303,T,
July-31,"Alappuzha (35), Ernakulam (132), Idukki (59), Kannur (14), Kasargod (52), Kollam (53), Kottayam (89), Kozhikode (84), Malappuram (73), Palakkad (83), Pathanamthitta (130), Thiruvananthapuram (320), Thrissur (60), Wayanad (124)",None,1208,23612,PTP,
July-31,"Alappuzha (35), Ernakulam (132), Idukki (59), Kannur (14), Kasargod (52), Kollam (53), Kottayam (89), Kozhikode (84), Malappuram (73), Palakkad (83), Pathanamthitta (130), Thiruvananthapuram (320), Thrissur (60), Wayanad (124)",Other states,54,23612,T,
July-31,"Alappuzha (35), Ernakulam (132), Idukki (59), Kannur (14), Kasargod (52), Kollam (53), Kottayam (89), Kozhikode (84), Malappuram (73), Palakkad (83), Pathanamthitta (130), Thiruvananthapuram (320), Thrissur (60), Wayanad (124)",Overseas,48,23612,T,
August-1,"Alappuzha (67), Ernakulam (59), Idukki (14), Kannur (5), Kasargod (153), Kollam (35), Kottayam (89), Kozhikode (95), Malappuram (141), Palakkad (47), Pathanamthitta (85), Thiruvananthapuram (259), Thrissur (76), Wayanad (46)",None,926,24742,PTP,
August-1,"Alappuzha (67), Ernakulam (59), Idukki (14), Kannur (5), Kasargod (153), Kollam (35), Kottayam (89), Kozhikode (95), Malappuram (141), Palakkad (47), Pathanamthitta (85), Thiruvananthapuram (259), Thrissur (76), Wayanad (46)",Other states,114,24742,T,
August-1,"Alappuzha (67), Ernakulam (59), Idukki (14), Kannur (5), Kasargod (153), Kollam (35), Kottayam (89), Kozhikode (95), Malappuram (141), Palakkad (47), Pathanamthitta (85), Thiruvananthapuram (259), Thrissur (76), Wayanad (46)",Overseas,89,24742,T,
August-2,"Alappuzha (38), Ernakulam (128), Idukki (42), Kannur (16), Kasargod (113), Kollam (69), Kottayam (70), Kozhikode (50), Malappuram (126), Palakkad (38), Pathanamthitta (25), Thiruvananthapuram (377), Thrissur (58), Wayanad (19)",None,1031,25911,PTP,
August-2,"Alappuzha (38), Ernakulam (128), Idukki (42), Kannur (16), Kasargod (113), Kollam (69), Kottayam (70), Kozhikode (50), Malappuram (126), Palakkad (38), Pathanamthitta (25), Thiruvananthapuram (377), Thrissur (58), Wayanad (19)",Other states,95,25911,T,
August-2,"Alappuzha (38), Ernakulam (128), Idukki (42), Kannur (16), Kasargod (113), Kollam (69), Kottayam (70), Kozhikode (50), Malappuram (126), Palakkad (38), Pathanamthitta (25), Thiruvananthapuram (377), Thrissur (58), Wayanad (19)",Overseas,43,25911,T,
August-3,"Alappuzha (101), Ernakulam (106), Idukki (26), Kannur (37), Kasargod (66), Kollam (57), Kottayam (35), Kozhikode (33), Malappuram (85), Palakkad (59), Pathanamthitta (36), Thiruvananthapuram (205), Thrissur (85), Wayanad (31)",None,822,26873,PTP,
August-3,"Alappuzha (101), Ernakulam (106), Idukki (26), Kannur (37), Kasargod (66), Kollam (57), Kottayam (35), Kozhikode (33), Malappuram (85), Palakkad (59), Pathanamthitta (36), Thiruvananthapuram (205), Thrissur (85), Wayanad (31)",Other states,85,26873,T,
